SubjectID,Channel_0,Channel_1,Channel_2,Label
1,data/2d_rad_segmentation/001/image_blue.png,data/2d_rad_segmentation/001/image_red.png,data/2d_rad_segmentation/001/image_green.png,data/2d_rad_segmentation/001/mask.png
2,data/2d_rad_segmentation/002/image_blue.png,data/2d_rad_segmentation/002/image_red.png,data/2d_rad_segmentation/002/image_green.png,data/2d_rad_segmentation/002/mask.png
3,data/2d_rad_segmentation/003/image_blue.png,data/2d_rad_segmentation/003/image_red.png,data/2d_rad_segmentation/003/image_green.png,data/2d_rad_segmentation/003/mask.png
4,data/2d_rad_segmentation/004/image_blue.png,data/2d_rad_segmentation/004/image_red.png,data/2d_rad_segmentation/004/image_green.png,data/2d_rad_segmentation/004/mask.png
5,data/2d_rad_segmentation/005/image_blue.png,data/2d_rad_segmentation/005/image_red.png,data/2d_rad_segmentation/005/image_green.png,data/2d_rad_segmentation/005/mask.png
6,data/2d_rad_segmentation/006/image_blue.png,data/2d_rad_segmentation/006/image_red.png,data/2d_rad_segmentation/006/image_green.png,data/2d_rad_segmentation/006/mask.png
7,data/2d_rad_segmentation/007/image_blue.png,data/2d_rad_segmentation/007/image_red.png,data/2d_rad_segmentation/007/image_green.png,data/2d_rad_segmentation/007/mask.png
8,data/2d_rad_segmentation/008/image_blue.png,data/2d_rad_segmentation/008/image_red.png,data/2d_rad_segmentation/008/image_green.png,data/2d_rad_segmentation/008/mask.png
9,data/2d_rad_segmentation/009/image_blue.png,data/2d_rad_segmentation/009/image_red.png,data/2d_rad_segmentation/009/image_green.png,data/2d_rad_segmentation/009/mask.png
10,data/2d_rad_segmentation/010/image_blue.png,data/2d_rad_segmentation/010/image_red.png,data/2d_rad_segmentation/010/image_green.png,data/2d_rad_segmentation/010/mask.png
